Golf Course Name,Address,City,State,Golf Course Website,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Website
Bear's Best Las Vegas Golf Club,"11111 W Flamingo Rd, Las Vegas, NV 89135-2613",Las Vegas,NV,,,,,,,,,,,,https://www.invitedclubs.com › clubs › bear-s-best-las-ve...
Washington County Golf Course,"6439 Clover Rd, Hartford, WI 53027-9585",Hartford,WI,,,,,,,,,,,,https://www.golfwcgc.com
Rustic Glen Golf Club,"12090 West Michigan Avenue, Saline, MI 48176",Saline,MI,,,,,,,,,,,,https://www.rusticglen.com
