Golf Course Name,Address,City,State,Golf Course Website,,,,,,,,,,
Bear's Best Las Vegas Golf Club,"11111 W Flamingo Rd, Las Vegas, NV 89135-2613",Las Vegas,NV,,,,,,,,,,,
Washington County Golf Course,"6439 Clover Rd, Hartford, WI 53027-9585",Hartford,WI,,,,,,,,,,,
Rustic Glen Golf Club,"12090 West Michigan Avenue, Saline, MI 48176",Saline,MI,,,,,,,,,,,
