Golf Course Name,Address,City,State,Golf Course Website,,,,,,,,,,
South Padre Island Golf Club,"1 Golf Course Rd, Laguna Vista, TX 78578",Laguna Vista,TX,http://www.spigolf.com,,,,,,,,,,
Crab Meadow Golf Course,"220 Waterside Rd, Northport, NY 11768-3528",Northport,NY,http://www.crabmeadow.com,,,,,,,,,,
Briar Ridge Golf Course,"11099 Dodge Rd, Montrose, MI 48457-9120",Montrose,MI,http://www.briarridgegolf.com,,,,,,,,,,
Hillside Golf Course,"2616 Hillside Dr, Sidney, NE 69162-2481",Sidney,NE,http://www.hillsidegolfcourse.com/,,,,,,,,,,
Edgebrook Golf Course,"6100 N Central Ave, Chicago, IL 60646",Chicago,IL,http://edgebrook.forestpreservegolf.com/,,,,,,,,,,
Village Green Golf Course,"2501 N Midlothian Rd, Mundelein, IL 60060-1037",Mundelein,IL,http://www.villagegreengc.com,,,,,,,,,,
Santa Anita Golf Course,"405 S Santa Anita Ave, Arcadia, CA 91006",Arcadia,CA,https://www.santaanitagc.com/,,,,,,,,,,
Bulle Rock,"320 Blenhiem Ln, Havre de Grace, MD 21078-2003",Havre de Grace,MD,http://www.bullerock.com,,,,,,,,,,
Links At Tuscaloosa Golf & Country Club,"1800 Links Blvd, Tuscaloosa, AL 35405",Tuscaloosa,AL,http://www.lindseymanagement.com,,,,,,,,,,
Carmel Valley Ranch,"1 Old Ranch Rd, Carmel, CA 93923",Carmel,CA,http://www.carmelvalleyranchclub.com,,,,,,,,,,
Lincoln Hills - Orchard Course,"1005 Sun City Lane, Lincoln, CA",Lincoln,CA,https://www.lincolnhillsgolfclub.com/,,,,,,,,,,
Highland Falls Golf Course,"10201 Sun City Blvd, Las Vegas, NV 89134",Las Vegas,NV,http://www.golfsummerlin.com,,,,,,,,,,
Royal Oaks Golf Course,"3350 Oak St, Lebanon, PA 17042-9453",Lebanon,PA,http://www.royaloaksgolfpa.com,,,,,,,,,,
The Golf Club At Cypress Head,"6231 Palm Vista St, Port Orange, FL 32128-6949",Port Orange,FL,http://www.cypressheadgolf.com,,,,,,,,,,
Mountain Brook Golf Club,"5783 South Mountainbrook Drive, Gold Canyon, AZ 85118",Gold Canyon,AZ,http://www.mountainbrookgolf.com,,,,,,,,,,
Sugarcane Golf Club,"2619 W Canal St N, Belle Glade, FL 33430",Belle Glade,FL,https://www.golfnow.com/courses/1028241-belle-glades-sugarcane-golf-club-details,,,,,,,,,,
Oakview Links Golf Course,"218 Wheatley Dr Exd, Newbern, TN",Newbern,TN,http://www.tnvacation.com/vendors/oakview_links_golf_course/,,,,,,,,,,
Tustin Ranch Golf Club,"12442 Tustin Ranch Rd, Tustin, CA 92782",Tustin,CA,https://www.tustinranchgolf.com/book-tee-times/,,,,,,,,,,
Shamrock Hills Golf Course,"31071 County Road 390, Gobles, MI 49055-9261",Gobles,MI,https://www.shamrockhills.com/,,,,,,,,,,
Eaglewood Conference Resort & Spa,"1401 Nordic Rd, Itasca, IL 60143-2484",Itasca,IL,http://www.eaglewoodresort.com,,,,,,,,,,
Country Club of Newberry,"414 Country Club Rd, Newberry, SC 29108",Newberry,SC,http://www.ccofnewberry.com/,,,,,,,,,,
Inn of the Mountain Gods Resort,"Rt 4, Mescalero, NM 88340",Mescalero,NM,http://www.innofthemountaingods.com,,,,,,,,,,
Lockwood Folly Country Club,"19 Clubhouse Dr., Holden Beach, NC 28462",Holden Beach,NC,http://www.lockwoodfolly.com,,,,,,,,,,
